0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:36 +0800] "GET /rupeng-admin/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:38 +0800] "GET /rupeng-admin/rolePermission/update.do?roleId=2 HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/role/list.do HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/layer/1.9.3/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/js/H-ui.admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/css/H-ui.admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/validation/additional-methods.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/validation/localization/messages_zh.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/js/H-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:49 +0800] "GET /rupeng-admin/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:52 +0800] "GET /rupeng-admin/adminUser/list.do HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:54 +0800] "GET /rupeng-admin/adminUser/add.do HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/adminUser/list.do HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:57 +0800] "GET /rupeng-admin/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
